vaccine_date,trend_3_days
21/01/2021,889
22/01/2021,915
23/01/2021,3998
24/01/2021,3858
25/01/2021,2827
26/01/2021,3954
27/01/2021,2730
28/01/2021,2463
29/01/2021,928
30/01/2021,622
31/01/2021,374
01/02/2021,323
02/02/2021,215
03/02/2021,177
04/02/2021,170
05/02/2021,203
06/02/2021,318
07/02/2021,562
08/02/2021,245
09/02/2021,155
10/02/2021,120
11/02/2021,173
12/02/2021,270
13/02/2021,439
14/02/2021,781
15/02/2021,1140
16/02/2021,1307
17/02/2021,1036
18/02/2021,1218
19/02/2021,1310
20/02/2021,1531
21/02/2021,2468
22/02/2021,2541
23/02/2021,2407
24/02/2021,1621
25/02/2021,1855
26/02/2021,1847
27/02/2021,2079
28/02/2021,3166
01/03/2021,673
02/03/2021,332
03/03/2021,206
04/03/2021,184
05/03/2021,172
06/03/2021,190
07/03/2021,301
08/03/2021,675
09/03/2021,2253
10/03/2021,771
11/03/2021,382
12/03/2021,269
